Date,Ongc,JindalSteels,Black rock,Maruti Suzuki India Limited,Apple Inc.,Havells,Reliance,BombayDyeing,Berger Paints,Nokia
01-Jan-14,183.699997,250.25,300.470001,1635.349976,17.878571,155.369995,415.424988,56.099998,72.89286,6.92
01-Feb-14,194.233337,238.899994,304.839996,1586.300049,18.794287,153.600006,399.625,51.049999,75.535713,7.58
01-Mar-14,212.46666,291.799988,314.480011,1971.400024,19.169287,185.990005,464.75,55.299999,81.98214,7.34
01-Apr-14,216.733337,255.5,301,1918,21.074642,185.839996,467.649994,58.349998,85.964287,7.5
01-May-14,252.100006,298,304.899994,2269.5,22.607143,193.550003,532.575012,72.400002,88.303574,8.13
01-Jun-14,283.233337,322.700012,319.600006,2438.350098,23.2325,234.710007,507.350006,78.849998,103.375,7.56
01-Jul-14,263.566681,275,304.730011,2524.5,23.9,239.369995,503,71.25,107.35714,7.93
01-Aug-14,290,233.25,330.529999,2784.350098,25.625,283.700012,499.625,68.5,122.803574,8.37
01-Sep-14,272.366669,172.949997,328.320007,3064.350098,25.1875,264.700012,472.674988,69,135.196426,8.46
01-Oct-14,270.100006,161.199997,341.109985,3338.350098,27,284.299988,499.600006,66.75,141.785721,8.27
01-Nov-14,252.933334,140.850006,359.079987,3336.100098,29.7325,318.600006,495.424988,69.050003,140.321426,8.24
01-Dec-14,227.566666,151.850006,357.559998,3328.300049,27.594999,275.350006,445.575012,66.949997,143.714279,7.86
01-Jan-15,234.233337,158.75,340.51001,3645.25,29.290001,259.299988,457.674988,81.199997,163.75,7.6
01-Feb-15,216.5,193.649994,371.420013,3606.149902,32.115002,273.399994,427.825012,74.349998,161.321426,8.01
01-Mar-15,204.233337,156.600006,365.839996,3699.25,31.1075,305.149994,412.350006,63.900002,149.142853,7.58
01-Apr-15,202.666672,139.550003,363.940002,3732.050049,31.2875,279.950012,431.424988,64.449997,150.25,6.58
01-May-15,219.899994,119.400002,365.779999,3785.449951,32.57,275.799988,438.575012,67.199997,151.071426,7.29
01-Jun-15,206.399994,85.599998,345.980011,4022.699951,31.3575,282.100006,500.225006,73.449997,139.321426,6.85
01-Jul-15,181.800003,78.75,336.320007,4330.399902,30.325001,278.75,500.825012,87.300003,155.678574,7.05
01-Aug-15,159.53334,67.900002,302.470001,4167.5,28.190001,259.649994,428.399994,63.099998,151.678574,6.24
01-Sep-15,152.899994,60.599998,297.470001,4689.299805,27.575001,252.300003,430.25,63.299999,156.535721,6.78
01-Oct-15,164.633331,80.050003,351.970001,4448.649902,29.875,253.199997,473.924988,66.050003,158.464279,7.42
01-Nov-15,156.100006,91.099998,363.720001,4576.700195,29.575001,285.600006,484,67,157.357147,7.21
01-Dec-15,161.166672,96.099998,340.519989,4615.350098,26.315001,304.75,506.299988,64.300003,191.607147,7.02
01-Jan-16,150.833328,64.25,314.26001,4097.450195,24.334999,296.149994,517.525024,53.349998,190.035721,7.2
01-Feb-16,129.399994,53.349998,311.959991,3242.600098,24.172501,272.200012,483.274994,40.200001,160.392853,6.03
01-Mar-16,142.733337,60.049999,340.570007,3719.100098,27.247499,322.25,522.625,47.549999,174.642853,5.91
01-Apr-16,144.833328,69.900002,356.329987,3794.949951,23.434999,333,491.274994,49.150002,184.607147,5.87
01-May-16,140.5,63.349998,363.850006,4167.899902,24.965,364.5,479.475006,43.75,202.214279,5.7
01-Jun-16,144.199997,67.75,342.529999,4185.149902,23.9,359.25,484.725006,46.299999,198,5.69
01-Jul-16,146.733337,83.5,366.25,4755.200195,26.0525,388.5,507.75,46.650002,237.699997,5.77
01-Aug-16,157.53334,85.449997,372.809998,5052.649902,26.525,418.200012,529,44.450001,260.399994,5.67
01-Sep-16,171.100006,76,362.459991,5479.200195,28.262501,418,541.049988,50.75,261.100006,5.79
01-Oct-16,191.266663,75.25,341.23999,5875.299805,28.385,406.399994,526.75,57.75,258.799988,4.48
01-Nov-16,192.600006,70.599998,370.790009,5263.450195,27.629999,343.899994,496.375,46.25,228.350006,4.3
01-Dec-16,191.350006,69.099998,380.540009,5323,28.955,342.799988,540.049988,47.25,210.550003,4.81
01-Jan-17,202.550003,80.050003,373.980011,5896.5,30.3375,418.899994,521.700012,54.950001,211.25,4.52
01-Feb-17,193.550003,125.5,387.459991,5922.850098,34.247501,405.049988,619.125,58.75,231.75,5.14
01-Mar-17,185,120.949997,383.51001,6024.299805,35.915001,468.149994,659.599976,83,241.5,5.42
01-Apr-17,186.550003,114.199997,384.570007,6525.5,35.912498,483.399994,697.400024,86.400002,261.299988,5.73
01-May-17,177,121.900002,409.23999,7214.899902,38.189999,488.350006,670.299988,71.550003,251.600006,6.32
01-Jun-17,157.300003,123.099998,422.410004,7217.899902,36.005001,459.799988,690.125,80.699997,246.149994,6.16
01-Jul-17,169.399994,153.5,426.529999,7707.950195,37.182499,472.350006,806.924988,83.5,248.050003,6.39
01-Aug-17,156.949997,137.149994,419.01001,7702.5,41,488.350006,796.75,114.800003,246.199997,6.18
01-Sep-17,170.949997,134.75,447.089996,7973.149902,38.529999,482.850006,782.150024,176.850006,244.949997,5.98
01-Oct-17,191.100006,163.100006,470.829987,8217.099609,42.259998,484.700012,940.799988,194.300003,265.649994,4.89
01-Nov-17,180.649994,172.050003,501.190002,8602.299805,42.962502,510.399994,922.599976,221.350006,257.899994,5.01
01-Dec-17,195.199997,204.949997,513.710022,9731.349609,42.307499,562.150024,921.049988,277.5,271,4.66
01-Jan-18,203.449997,266.299988,561.799988,9514.150391,41.857498,522.049988,961.150024,227.850006,250.100006,4.81
01-Feb-18,188.300003,254.199997,549.429993,8873.150391,44.529999,507.200012,952.450012,258.600006,248.5,5.8
01-Mar-18,177.800003,219.300003,541.719971,8863.150391,41.945,487.75,882.799988,239.350006,256.450012,5.47
01-Apr-18,180.550003,251.5,521.5,8822.799805,41.314999,546.799988,963.099976,310.350006,286.200012,6.01
01-May-18,177.899994,229.5,534.22998,8534.950195,46.717499,545.549988,921.299988,241,297.75,5.79
01-Jun-18,158.399994,223.050003,499.040009,8821.200195,46.2775,542.900024,972.950012,220.350006,281.25,5.75
01-Jul-18,165.699997,205,502.76001,9506.400391,47.572498,634.25,1185.849976,260.600006,315.149994,5.4
01-Aug-18,180.050003,220.949997,479.059998,9097.25,56.907501,723.849976,1240.949951,270.399994,334.5,5.55
01-Sep-18,177.199997,196.149994,471.329987,7350.549805,56.435001,594.099976,1258.199951,168.100006,292.850006,5.58
01-Oct-18,153.25,171.399994,411.420013,6608.950195,54.715,642.400024,1061.400024,104.550003,280.049988,5.62
01-Nov-18,140.300003,153.899994,428.01001,7664.600098,44.645,684.599976,1168.199951,99.300003,319.5,5.47
01-Dec-18,149.899994,164.75,392.820007,7462.299805,39.435001,692.299988,1121.050049,113.800003,330.649994,5.82
